title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,na_sales_proportion,jp_sales_proportion,pal_sales_proportion,other_sales_proportion
Need for Speed: Hot Pursuit 2,PS2,Racing,Electronic Arts,EA Seattle,8.7,2.11,1.68,0.02,0.31,0.09,2002-10-01,0.7962085308056872,0.009478672985781991,0.14691943127962087,0.04265402843601896
PES 2009: Pro Evolution Soccer,PS3,Sports,Konami,Konami,7.7,2.11,0.11,0.4,1.34,0.26,2008-11-11,0.05213270142180095,0.18957345971563982,0.6350710900473935,0.12322274881516589
NBA 2K11,X360,Sports,2K Sports,Visual Concepts,8.8,2.11,1.86,0.01,0.12,0.13,2010-10-05,0.8815165876777252,0.004739336492890996,0.05687203791469195,0.06161137440758294
Grand Theft Auto: Episodes from Liberty City,PS3,Adventure,Rockstar Games,Rockstar North,9.0,2.09,0.62,0.13,0.99,0.34,2010-04-13,0.2966507177033493,0.06220095693779905,0.4736842105263158,0.1626794258373206
Need for Speed: Most Wanted 5-1-0,PSP,Racing,Electronic Arts,EA Black Box,7.4,2.09,1.77,0.02,0.13,0.17,2005-11-15,0.8468899521531101,0.009569377990430623,0.06220095693779905,0.0813397129186603
Metal Gear Solid: Peace Walker,PSP,Action,Konami,Kojima Productions,8.6,2.08,0.46,0.96,0.42,0.25,2010-06-08,0.22115384615384615,0.4615384615384615,0.2019230769230769,0.12019230769230768
Portal 2,X360,Shooter,Valve,Valve Software,9.6,2.08,1.41,0.01,0.49,0.17,2011-04-19,0.6778846153846153,0.004807692307692308,0.23557692307692307,0.08173076923076923
UFC 2009 Undisputed,X360,Fighting,THQ,Yuke's Osaka,8.4,2.07,1.48,0.0,0.39,0.19,2009-05-19,0.7149758454106281,0.0,0.1884057971014493,0.09178743961352658
Call of Duty 2,X360,Shooter,Activision,Infinity Ward,8.8,2.06,1.84,0.01,0.04,0.16,2005-11-17,0.8932038834951457,0.0048543689320388345,0.019417475728155338,0.07766990291262135
R4: Ridge Racer Type 4,PS,Racing,Namco,Namco,9.1,2.06,0.68,0.79,0.46,0.13,1999-05-04,0.3300970873786408,0.38349514563106796,0.22330097087378642,0.06310679611650485
The Incredibles,GBA,Action,THQ,Helixe,5.4,2.06,1.15,0.04,0.77,0.1,2004-10-31,0.558252427184466,0.019417475728155338,0.3737864077669903,0.04854368932038835
Tom Clancy's Splinter Cell: Conviction,X360,Action,Ubisoft,Ubisoft Montreal,8.6,2.06,1.2,0.04,0.62,0.19,2010-04-13,0.5825242718446602,0.019417475728155338,0.30097087378640774,0.09223300970873786
Need for Speed: Undercover,PS3,Racing,Electronic Arts,EA Vancouver,5.9,2.06,0.63,0.05,1.01,0.38,2008-11-17,0.3058252427184466,0.024271844660194174,0.49029126213592233,0.18446601941747573
Dark Souls,PS3,Role-Playing,Namco Bandai,From Software,9.0,2.05,0.75,0.54,0.53,0.22,2011-10-04,0.3658536585365854,0.26341463414634153,0.2585365853658537,0.10731707317073172
Need for Speed: ProStreet,X360,Racing,Electronic Arts,EA Black Box,7.1,2.05,1.04,0.01,0.79,0.21,2007-11-15,0.5073170731707317,0.004878048780487806,0.38536585365853665,0.10243902439024391
Dragon Quest XI: Echoes of an Elusive Age,PS4,Role-Playing,Square Enix,Square Enix,9.5,2.04,0.29,1.43,0.22,0.1,2018-09-04,0.14215686274509803,0.7009803921568627,0.10784313725490197,0.049019607843137254
PGR4 - Project Gotham Racing 4,X360,Racing,Microsoft Game Studios,Bizarre Creations,8.6,2.04,0.48,0.02,1.28,0.25,2007-10-02,0.23529411764705882,0.00980392156862745,0.6274509803921569,0.12254901960784313
Need for Speed: ProStreet,PS3,Racing,Electronic Arts,EA Black Box,7.2,2.04,0.73,0.04,0.91,0.36,2007-11-13,0.35784313725490197,0.0196078431372549,0.44607843137254904,0.1764705882352941
