title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,na_sales_proportion,jp_sales_proportion,pal_sales_proportion,other_sales_proportion
The Sims 3,PS3,Simulation,Electronic Arts,The Sims Studio,8.1,2.03,0.73,0.02,0.96,0.31,2010-10-26,0.35960591133004927,0.009852216748768475,0.47290640394088673,0.15270935960591134
Need for Speed: The Run,PS3,Racing,Electronic Arts,EA Black Box,6.3,2.01,0.58,0.03,1.05,0.35,2011-11-15,0.2885572139303483,0.01492537313432836,0.5223880597014926,0.17412935323383086
Tenchu: Stealth Assassins,PS,Action,Activision,Acquire,8.8,1.99,0.95,0.27,0.64,0.13,1998-08-31,0.4773869346733668,0.135678391959799,0.32160804020100503,0.06532663316582915
Harry Potter and the Chamber of Secrets,GBA,Adventure,Electronic Arts,Eurocom Entertainment Software,7.2,1.99,1.21,0.05,0.64,0.09,2002-11-14,0.6080402010050251,0.02512562814070352,0.32160804020100503,0.04522613065326633
Just Cause 3,PS4,Action-Adventure,Square Enix,Avalanche Studios,7.5,1.98,0.53,0.09,1.07,0.3,2015-12-01,0.2676767676767677,0.045454545454545456,0.5404040404040404,0.15151515151515152
Hot Shots Golf: Open Tee,PSP,Sports,Sony Computer Entertainment,Clap Hanz,8.4,1.96,0.5,0.63,0.5,0.33,2005-05-03,0.25510204081632654,0.32142857142857145,0.25510204081632654,0.16836734693877553
Tom Clancy's Rainbow Six: Vegas,X360,Shooter,Ubisoft,Ubisoft Montreal,8.8,1.95,1.09,0.02,0.65,0.2,2006-11-20,0.558974358974359,0.010256410256410256,0.33333333333333337,0.10256410256410257
Burnout Paradise,PS3,Racing,Electronic Arts,Criterion Games,9.0,1.95,1.01,0.02,0.63,0.28,2008-01-22,0.517948717948718,0.010256410256410256,0.3230769230769231,0.1435897435897436
FIFA Soccer 09,X360,Sports,Electronic Arts,EA Canada,8.7,1.94,0.49,0.01,1.26,0.18,2008-10-14,0.25257731958762886,0.005154639175257732,0.6494845360824743,0.09278350515463918
The Legend of Zelda: Oracle of Ages,GBC,Adventure,Nintendo,Flagship,9.4,1.92,0.92,0.41,0.53,0.06,2001-05-13,0.4791666666666667,0.21354166666666666,0.2760416666666667,0.03125
Need for Speed: Shift,X360,Racing,Electronic Arts,Slightly Mad Studios,8.2,1.91,0.73,0.01,0.96,0.22,2009-09-15,0.38219895287958117,0.005235602094240838,0.5026178010471204,0.11518324607329844
Star Wars Rogue Leader: Rogue Squadron II,GC,Simulation,LucasArts,Factor 5,9.2,1.9,1.03,0.03,0.75,0.09,2001-11-09,0.5421052631578948,0.015789473684210527,0.39473684210526316,0.04736842105263158
Tomb Raider (2013),X360,Action,Square Enix,Crystal Dynamics,8.5,1.9,0.86,0.01,0.87,0.16,2013-03-05,0.45263157894736844,0.005263157894736843,0.4578947368421053,0.08421052631578949
Madden NFL 09,PS3,Sports,EA Sports,EA Tiburon,8.6,1.89,1.56,0.0,0.15,0.18,2008-08-12,0.8253968253968255,0.0,0.07936507936507936,0.09523809523809523
Minecraft,NS,Sandbox,Mojang,4J Studios,9.2,1.89,0.69,0.52,0.56,0.12,2018-06-21,0.36507936507936506,0.2751322751322752,0.29629629629629634,0.06349206349206349
FIFA 2000,PS,Sports,EA Sports,EA Canada,8.8,1.87,0.22,0.04,1.47,0.14,1999-10-09,0.11764705882352941,0.0213903743315508,0.7860962566844919,0.07486631016042782
inFAMOUS 2,PS3,Action,Sony Computer Entertainment,Sucker Punch Productions,8.1,1.87,1.05,0.08,0.48,0.26,2011-06-07,0.5614973262032086,0.0427807486631016,0.2566844919786096,0.13903743315508021
The Legend of Dragoon,PS,Role-Playing,Sony Computer Entertainment,SCEI,7.8,1.86,0.94,0.39,0.44,0.1,2000-06-11,0.5053763440860215,0.20967741935483872,0.23655913978494622,0.053763440860215055
The Legend of Zelda: Oracle of Seasons,GBC,Adventure,Nintendo,Flagship,9.3,1.86,0.87,0.41,0.52,0.06,2001-05-13,0.46774193548387094,0.2204301075268817,0.27956989247311825,0.03225806451612903
The Evil Within,PS4,Action,Bethesda Softworks,Tango Gameworks,7.7,1.86,0.56,0.11,0.9,0.28,2014-10-14,0.3010752688172043,0.059139784946236555,0.48387096774193544,0.15053763440860216
Shrek 2,PS2,Platform,Activision,"Luxoflux, Inc.",6.9,1.86,1.12,0.03,0.69,0.02,2004-04-28,0.6021505376344086,0.016129032258064516,0.3709677419354838,0.01075268817204301
Star Wars: The Force Unleashed,Wii,Action,LucasArts,Krome Studios,6.8,1.86,1.11,0.0,0.56,0.19,2008-09-16,0.5967741935483871,0.0,0.3010752688172043,0.1021505376344086
Forza Horizon 4,XOne,Racing,Microsoft Studios,Playground Games,9.2,1.84,0.74,0.01,0.95,0.15,2018-10-02,0.4021739130434782,0.005434782608695652,0.5163043478260869,0.08152173913043477
BioShock Infinite,PS3,Shooter,2K Games,Irrational Games,9.5,1.82,0.74,0.04,0.74,0.3,2013-03-26,0.4065934065934066,0.021978021978021976,0.4065934065934066,0.16483516483516483
The Orange Box,X360,Shooter,Electronic Arts,Valve Software,9.7,1.82,1.09,0.02,0.53,0.17,2007-10-10,0.5989010989010989,0.010989010989010988,0.29120879120879123,0.09340659340659341
Crazy Taxi,DC,Racing,Sega,Hitmaker,9.3,1.81,1.1,0.12,0.51,0.08,2000-01-24,0.6077348066298343,0.06629834254143646,0.281767955801105,0.04419889502762431
UFC 2009 Undisputed,PS3,Fighting,THQ,Yuke's Osaka,8.4,1.76,1.07,0.01,0.45,0.24,2009-05-19,0.6079545454545455,0.005681818181818182,0.2556818181818182,0.13636363636363635
Just Cause 2,PS3,Action,Square Enix,Avalanche Studios,8.3,1.75,0.45,0.06,0.92,0.32,2010-03-23,0.2571428571428572,0.03428571428571429,0.5257142857142857,0.18285714285714286
FIFA Soccer 08,PS3,Sports,EA Sports,EA Canada,8.5,1.75,0.35,0.02,1.07,0.31,2007-10-09,0.19999999999999998,0.011428571428571429,0.6114285714285714,0.17714285714285713
Titanfall 2,PS4,Shooter,Electronic Arts,Respawn Entertainment,8.9,1.72,0.75,0.06,0.62,0.28,2016-10-28,0.436046511627907,0.03488372093023256,0.3604651162790698,0.16279069767441862
Portal 2,PS3,Shooter,Valve,Valve Software,9.6,1.71,0.83,0.02,0.62,0.24,2011-04-19,0.4853801169590643,0.011695906432748539,0.36257309941520466,0.14035087719298245
Call of Duty Black Ops: Declassified,PSV,Shooter,Activision,Nihilistic,3.2,1.71,0.74,0.07,0.52,0.38,2012-11-13,0.43274853801169594,0.04093567251461989,0.304093567251462,0.22222222222222224
Harry Potter and the Sorcerer's Stone,GBA,Action,Electronic Arts,Griptonite Games,6.6,1.69,0.87,0.08,0.66,0.08,2001-11-15,0.514792899408284,0.04733727810650888,0.3905325443786983,0.04733727810650888
Need for Speed: Undercover,X360,Racing,Electronic Arts,EA Vancouver,6.3,1.69,0.8,0.01,0.7,0.18,2008-11-17,0.4733727810650888,0.00591715976331361,0.41420118343195267,0.10650887573964497
Time Crisis,PS,Shooter,Namco,Namco,8.5,1.68,0.38,0.33,0.87,0.1,1997-10-31,0.2261904761904762,0.19642857142857145,0.5178571428571429,0.05952380952380953
Far Cry 4,XOne,Shooter,Ubisoft,Ubisoft Montreal,8.5,1.68,0.85,0.02,0.68,0.14,2014-11-18,0.5059523809523809,0.011904761904761906,0.4047619047619048,0.08333333333333334
Saints Row 2,PS3,Action,THQ,Volition Inc.,7.9,1.68,0.88,0.02,0.54,0.24,2008-10-14,0.5238095238095238,0.011904761904761906,0.32142857142857145,0.14285714285714285
Dragon Age: Origins,PS3,Role-Playing,Electronic Arts,BioWare Edmonton,8.7,1.67,0.96,0.08,0.42,0.21,2009-11-03,0.5748502994011976,0.04790419161676647,0.25149700598802394,0.12574850299401197
PGR: Project Gotham Racing 2,XB,Racing,Microsoft Game Studios,Bizarre Creations,8.9,1.67,0.97,0.04,0.59,0.07,2003-11-17,0.5808383233532934,0.023952095808383235,0.3532934131736527,0.04191616766467066
Need for Speed Carbon,X360,Racing,Electronic Arts,EA Black Box,7.9,1.65,0.76,0.02,0.69,0.18,2006-10-31,0.46060606060606063,0.012121212121212123,0.41818181818181815,0.1090909090909091
MySims,Wii,Simulation,Electronic Arts,EA Redwood Shores,7.1,1.65,0.9,0.04,0.54,0.17,2007-09-18,0.5454545454545455,0.024242424242424246,0.3272727272727273,0.10303030303030304
Army of Two,X360,Shooter,Electronic Arts,EA Montreal,6.7,1.64,1.09,0.02,0.37,0.16,2008-03-07,0.6646341463414634,0.012195121951219513,0.22560975609756098,0.0975609756097561
Ape Escape,PS,Platform,Sony Computer Entertainment,SCE Japan Studio,9.3,1.63,0.71,0.32,0.48,0.11,1999-05-31,0.43558282208588955,0.19631901840490798,0.294478527607362,0.06748466257668712
Uncharted: Golden Abyss,PSV,Action,Sony Computer Entertainment,SCEA Bend Studio / Naughty Dog,7.9,1.62,0.53,0.13,0.71,0.25,2012-02-15,0.3271604938271605,0.08024691358024691,0.43827160493827155,0.15432098765432098
The Order: 1886,PS4,Shooter,Sony Computer Entertainment,Ready at Dawn,6.2,1.62,0.44,0.07,0.86,0.25,2015-02-20,0.2716049382716049,0.04320987654320988,0.5308641975308641,0.15432098765432098
Kinectimals,X360,Simulation,Microsoft Game Studios,Frontier Studio,7.5,1.62,1.02,0.0,0.46,0.14,2010-11-04,0.6296296296296297,0.0,0.2839506172839506,0.08641975308641976
Rage,X360,Shooter,Bethesda Softworks,id Software,7.9,1.6,0.82,0.03,0.6,0.15,2011-10-04,0.5125,0.01875,0.37499999999999994,0.09374999999999999
Just Cause 2,X360,Action,Square Enix,Avalanche Studios,8.0,1.6,0.59,0.02,0.83,0.17,2010-03-23,0.36874999999999997,0.012499999999999999,0.5187499999999999,0.10625
Pro Evolution Soccer 2008,PS3,Sports,Konami,Konami,7.1,1.59,0.04,0.32,1.1,0.13,2008-03-12,0.025157232704402514,0.2012578616352201,0.6918238993710693,0.08176100628930817
Soul Blade,PS,Fighting,Namco,Namco,8.6,1.59,0.61,0.46,0.41,0.1,1997-01-01,0.38364779874213834,0.2893081761006289,0.2578616352201258,0.06289308176100629
Far Cry 2,X360,Shooter,Ubisoft,Ubisoft Montreal,8.5,1.59,0.72,0.02,0.69,0.18,2008-10-21,0.45283018867924524,0.012578616352201257,0.43396226415094336,0.11320754716981131
Sonic Generations,PS3,Platform,Sega,Sonic Team,7.3,1.59,0.6,0.02,0.72,0.25,2011-11-01,0.3773584905660377,0.012578616352201257,0.45283018867924524,0.15723270440251572
Devil May Cry 4,PS3,Action,Capcom,Capcom,8.2,1.58,0.58,0.34,0.45,0.2,2008-02-05,0.36708860759493667,0.21518987341772153,0.2848101265822785,0.12658227848101267
Pro Evolution Soccer 2010,PS2,Sports,Konami,Konami,7.2,1.57,0.1,0.12,0.18,1.16,2009-11-10,0.06369426751592357,0.07643312101910828,0.11464968152866241,0.7388535031847133
007: The World is Not Enough,N64,Shooter,Electronic Arts,Eurocom Entertainment Software,7.4,1.55,1.13,0.02,0.38,0.03,2000-10-17,0.729032258064516,0.012903225806451613,0.24516129032258063,0.019354838709677417
BioShock 2,PS3,Shooter,2K Games,2K Marin,8.5,1.55,0.85,0.02,0.46,0.22,2010-02-09,0.5483870967741935,0.012903225806451613,0.2967741935483871,0.14193548387096774
Need for Speed: Most Wanted (2012),X360,Racing,Electronic Arts,Criterion Games,8.5,1.54,0.62,0.01,0.79,0.12,2012-10-30,0.40259740259740256,0.006493506493506493,0.512987012987013,0.07792207792207792
Dark Cloud,PS2,Role-Playing,Sony Computer Entertainment,Level 5,8.2,1.54,0.83,0.08,0.44,0.19,2001-05-28,0.538961038961039,0.051948051948051945,0.2857142857142857,0.12337662337662338
Go Vacation,Wii,Misc,Namco Bandai,Namco Bandai Games,7.0,1.54,0.42,0.33,0.66,0.13,2011-10-11,0.2727272727272727,0.2142857142857143,0.4285714285714286,0.08441558441558442
Forza Motorsport 7,XOne,Racing,Microsoft Studios,Turn 10 Studios,8.9,1.52,0.58,0.01,0.81,0.12,2017-10-03,0.381578947368421,0.006578947368421052,0.5328947368421053,0.07894736842105263
Call of Duty 3,PS3,Shooter,Activision,Treyarch,7.7,1.51,0.6,0.03,0.63,0.26,2006-11-15,0.3973509933774834,0.019867549668874173,0.41721854304635764,0.17218543046357615
WWF No Mercy,N64,Fighting,THQ,Aki Corp.,9.1,1.5,1.2,0.02,0.27,0.02,2000-11-17,0.7999999999999999,0.013333333333333334,0.18000000000000002,0.013333333333333334
SoulCalibur II,GC,Fighting,Namco,Namco,9.2,1.5,0.99,0.11,0.32,0.08,2003-08-27,0.66,0.07333333333333333,0.21333333333333335,0.05333333333333334
Metal Gear Rising: Revengeance,PS3,Action,Konami Digital Entertainment,PlatinumGames,9.0,1.5,0.47,0.44,0.41,0.18,2013-02-19,0.3133333333333333,0.29333333333333333,0.2733333333333333,0.12
Dead Rising 2,X360,Action,Capcom,Blue Castle Games,8.2,1.49,0.75,0.09,0.53,0.13,2010-09-28,0.5033557046979866,0.060402684563758385,0.3557046979865772,0.087248322147651
Mafia II,PS3,Action,2K Games,Illusion Softworks,7.0,1.49,0.5,0.04,0.7,0.25,2010-08-24,0.33557046979865773,0.026845637583892617,0.4697986577181208,0.16778523489932887
007: Quantum of Solace,X360,Shooter,Activision,Treyarch,6.6,1.48,0.82,0.01,0.51,0.14,2008-11-04,0.5540540540540541,0.006756756756756757,0.3445945945945946,0.0945945945945946
Fight Night Round 3,X360,Fighting,EA Sports,EA Chicago,8.6,1.47,1.33,0.01,0.03,0.1,2006-02-20,0.9047619047619049,0.006802721088435375,0.02040816326530612,0.06802721088435375
Minecraft,WiiU,Misc,Mojang,4J Studios,5.5,1.47,0.5,0.38,0.49,0.09,2016-06-17,0.3401360544217687,0.2585034013605442,0.3333333333333333,0.061224489795918366
Battlefield: Bad Company,X360,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.46,0.81,0.04,0.46,0.15,2008-06-23,0.5547945205479452,0.027397260273972605,0.31506849315068497,0.10273972602739725
Mass Effect 3,PS3,Role-Playing,Electronic Arts,BioWare,8.9,1.46,0.65,0.03,0.58,0.2,2012-03-06,0.4452054794520548,0.02054794520547945,0.3972602739726027,0.13698630136986303
Mass Effect 2,PS3,Role-Playing,Electronic Arts,BioWare Edmonton,9.3,1.46,0.78,0.03,0.46,0.18,2011-01-18,0.5342465753424658,0.02054794520547945,0.31506849315068497,0.1232876712328767
Homefront,X360,Shooter,THQ,Kaos Studios,6.7,1.46,0.83,0.02,0.48,0.12,2011-03-15,0.5684931506849314,0.013698630136986302,0.3287671232876712,0.0821917808219178
Super Monkey Ball,GC,Puzzle,Sega,Amusement Vision,9.0,1.46,0.95,0.1,0.37,0.04,2001-11-17,0.6506849315068493,0.06849315068493152,0.2534246575342466,0.027397260273972605
The House of the Dead 2 & 3 Return,Wii,Shooter,Sega,Sega,6.5,1.45,0.77,0.03,0.5,0.15,2008-03-11,0.5310344827586208,0.020689655172413793,0.3448275862068966,0.10344827586206896
BioShock,PS3,Shooter,2K Games,2K Boston / 2K Australia / 2K Marin,9.3,1.44,0.75,0.01,0.48,0.21,2008-10-21,0.5208333333333334,0.006944444444444445,0.3333333333333333,0.14583333333333334
Kinect Joy Ride,X360,Racing,Microsoft Game Studios,Big Park,5.6,1.43,0.92,0.0,0.39,0.12,2010-11-04,0.6433566433566434,0.0,0.27272727272727276,0.08391608391608392
WWE SmackDown vs Raw 2008,X360,Fighting,THQ,Yuke's Media Creations,7.3,1.43,0.92,0.0,0.38,0.13,2007-11-13,0.6433566433566434,0.0,0.26573426573426573,0.09090909090909091
UFC Undisputed 2010,PS3,Fighting,THQ,Yuke's Future Media Creators,8.4,1.42,0.8,0.02,0.4,0.19,2010-05-25,0.5633802816901409,0.014084507042253521,0.28169014084507044,0.13380281690140847
Rayman Raving Rabbids,Wii,Misc,Ubisoft,Ubisoft Montpellier,7.5,1.42,1.22,0.02,0.07,0.11,2006-11-14,0.8591549295774649,0.014084507042253521,0.04929577464788733,0.07746478873239437
Sonic Generations,X360,Platform,Sega,Sonic Team,7.7,1.39,0.71,0.0,0.54,0.13,2011-11-01,0.5107913669064749,0.0,0.38848920863309355,0.09352517985611512
Deus Ex: Human Revolution,X360,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.77,0.02,0.47,0.12,2011-08-23,0.5579710144927537,0.014492753623188408,0.34057971014492755,0.08695652173913043
Far Cry 2,PS3,Shooter,Ubisoft,Ubisoft Montreal,8.4,1.38,0.43,0.01,0.69,0.26,2008-10-21,0.3115942028985507,0.007246376811594204,0.5,0.1884057971014493
Deus Ex: Human Revolution,PS3,Shooter,Square Enix,Eidos Montreal,8.8,1.38,0.5,0.07,0.6,0.22,2011-08-23,0.3623188405797102,0.05072463768115943,0.4347826086956522,0.15942028985507248
Dead Rising 2,PS3,Action,Capcom,Blue Castle Games,8.1,1.37,0.43,0.15,0.57,0.22,2010-09-28,0.3138686131386861,0.1094890510948905,0.4160583941605839,0.16058394160583941
Crysis 2,X360,Shooter,Electronic Arts,Crytek,8.7,1.37,0.73,0.02,0.5,0.13,2011-03-22,0.5328467153284671,0.014598540145985401,0.36496350364963503,0.0948905109489051
Need for Speed: The Run,X360,Racing,Electronic Arts,EA Black Box,5.5,1.37,0.63,0.0,0.57,0.16,2011-11-15,0.45985401459854014,0.0,0.4160583941605839,0.11678832116788321
Metroid: Other M,Wii,Action,Nintendo,Nintendo SPD Production Group 1/Team Ninja,7.7,1.36,0.85,0.13,0.28,0.1,2010-08-31,0.6249999999999999,0.09558823529411764,0.2058823529411765,0.07352941176470588
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,Capcom,Capcom,8.2,1.36,0.81,0.11,0.28,0.15,2011-02-15,0.5955882352941176,0.08088235294117646,0.2058823529411765,0.1102941176470588
Wolfenstein II: The New Colossus,PS4,Shooter,Bethesda Softworks,MachineGames,9.0,1.36,0.55,0.01,0.58,0.22,2017-10-27,0.40441176470588236,0.007352941176470588,0.42647058823529405,0.16176470588235292
Gardening Mama,DS,Puzzle,Majesco,Taito Corporation,6.6,1.36,0.79,0.01,0.42,0.13,2009-03-31,0.5808823529411764,0.007352941176470588,0.30882352941176466,0.09558823529411764
FIFA Soccer 09,PSP,Sports,EA Sports,EA Canada,8.1,1.35,0.23,0.02,0.73,0.37,2008-10-14,0.17037037037037037,0.014814814814814814,0.5407407407407407,0.274074074074074
Burnout Paradise,X360,Racing,Electronic Arts,Criterion,8.9,1.35,0.63,0.01,0.57,0.14,2008-01-22,0.4666666666666666,0.007407407407407407,0.42222222222222217,0.1037037037037037
Battlefield: Bad Company,PS3,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.34,0.76,0.05,0.36,0.17,2008-06-23,0.5671641791044776,0.03731343283582089,0.26865671641791045,0.12686567164179105
F1 2010,PS3,Racing,Codemasters,Codemasters Birmingham,8.4,1.34,0.25,0.08,0.75,0.26,2010-09-21,0.18656716417910446,0.05970149253731343,0.5597014925373134,0.19402985074626866
Donkey Kong Jungle Beat,GC,Platform,Nintendo,Nintendo EAD Tokyo,7.9,1.34,0.84,0.24,0.22,0.04,2005-03-14,0.626865671641791,0.1791044776119403,0.16417910447761194,0.029850746268656716
The ICO & Shadow of the Colossus Collection,PS3,Adventure,Sony Computer Entertainment,Bluepoint Games,9.0,1.34,0.67,0.13,0.36,0.18,2011-09-27,0.5,0.09701492537313433,0.26865671641791045,0.13432835820895522
Need for Speed Carbon,PS2,Racing,Electronic Arts,EA Black Box,7.7,1.34,1.22,0.05,0.05,0.01,2006-10-31,0.9104477611940298,0.03731343283582089,0.03731343283582089,0.007462686567164179
Tom Clancy's Rainbow Six: Vegas 2,PS3,Shooter,Ubisoft,Ubisoft Montreal,8.2,1.34,0.66,0.04,0.45,0.2,2008-03-19,0.4925373134328358,0.029850746268656716,0.33582089552238803,0.14925373134328357
Devil May Cry 4,X360,Action,Capcom,Capcom,8.5,1.34,0.79,0.08,0.34,0.13,2008-02-05,0.5895522388059702,0.05970149253731343,0.2537313432835821,0.09701492537313433
WWE SmackDown vs Raw 2008,PS3,Fighting,THQ,Yuke's Media Creations,7.3,1.33,0.62,0.01,0.5,0.2,2007-11-13,0.46616541353383456,0.007518796992481203,0.37593984962406013,0.15037593984962405
Alan Wake,X360,Action,Microsoft Game Studios,Remedy Entertainment,8.3,1.33,0.66,0.05,0.5,0.12,2010-05-18,0.49624060150375937,0.03759398496240601,0.37593984962406013,0.09022556390977443
Crysis 2,PS3,Shooter,Electronic Arts,Crytek,8.8,1.33,0.48,0.06,0.57,0.22,2011-03-22,0.3609022556390977,0.045112781954887216,0.4285714285714285,0.16541353383458646
Grand Theft Auto: Chinatown Wars,DS,Adventure,Rockstar Games,Rockstar Leeds/North,9.5,1.33,0.58,0.05,0.56,0.14,2009-03-17,0.4360902255639097,0.03759398496240601,0.4210526315789474,0.10526315789473685
Spider-Man: The Movie,GBA,Platform,Activision,Digital Eclipse,7.9,1.33,0.92,0.01,0.35,0.05,2002-04-16,0.6917293233082706,0.007518796992481203,0.2631578947368421,0.03759398496240601
Tony Hawk's Pro Skater,GB,Sports,Activision,Natsume,7.1,1.33,0.9,0.01,0.38,0.05,2000-02-29,0.6766917293233082,0.007518796992481203,0.2857142857142857,0.03759398496240601
Fallout 76,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,5.1,1.32,0.52,0.1,0.49,0.2,2018-11-14,0.3939393939393939,0.07575757575757576,0.3712121212121212,0.15151515151515152
Rage,PS3,Shooter,Bethesda Softworks,id Software,7.9,1.32,0.47,0.06,0.59,0.2,2011-10-04,0.356060606060606,0.04545454545454545,0.4469696969696969,0.15151515151515152
MAG: Massive Action Game,PS3,Shooter,Sony Computer Entertainment,Zipper Interactive,7.4,1.32,0.77,0.09,0.3,0.16,2010-01-26,0.5833333333333334,0.06818181818181818,0.22727272727272727,0.12121212121212122
UFC Undisputed 2010,X360,Fighting,THQ,Yuke's Future Media Creators,8.6,1.32,0.9,0.0,0.31,0.11,2010-05-25,0.6818181818181818,0.0,0.23484848484848483,0.08333333333333333
Need for Speed Underground Rivals,PSP,Racing,Electronic Arts,Team Fusion,7.6,1.32,0.69,0.02,0.38,0.24,2005-03-14,0.5227272727272727,0.015151515151515152,0.28787878787878785,0.1818181818181818
NBA Live 07,PS2,Sports,EA Sports,EA Canada,6.3,1.3,1.07,0.02,0.04,0.17,2006-09-25,0.8230769230769232,0.015384615384615384,0.030769230769230767,0.13076923076923078
The Last Guardian,PS4,Action-Adventure,Sony Interactive Entertainment,SIE Japan Studio,7.9,1.29,0.4,0.13,0.58,0.19,2016-12-06,0.31007751937984496,0.10077519379844961,0.44961240310077516,0.14728682170542634
Need for Speed Carbon,Wii,Racing,Electronic Arts,EA Black Box,6.4,1.28,0.45,0.02,0.66,0.15,2006-11-19,0.3515625,0.015625,0.515625,0.1171875
.hack//Infection Part 1,PS2,Role-Playing,Bandai,CyberConnect2,7.7,1.27,0.49,0.26,0.38,0.13,2003-02-11,0.3858267716535433,0.2047244094488189,0.2992125984251969,0.10236220472440945
WWE '12,X360,Fighting,THQ,"Yuke's Co., Ltd.",7.5,1.27,0.74,0.0,0.4,0.12,2011-11-22,0.5826771653543307,0.0,0.31496062992125984,0.09448818897637795
Castlevania: Symphony of the Night,PS,Platform,Konami,Konami Computer Entertainment Tokyo,9.3,1.27,0.58,0.21,0.4,0.08,1997-10-02,0.45669291338582674,0.1653543307086614,0.31496062992125984,0.06299212598425197
SOCOM: U.S. Navy SEALs Confrontation,PS3,Shooter,Sony Computer Entertainment,Slant Six Games,6.3,1.26,0.94,0.02,0.17,0.14,2008-10-14,0.7460317460317459,0.015873015873015872,0.13492063492063494,0.11111111111111112
Assassin's Creed: Bloodlines,PSP,Action,Ubisoft,Griptonite Studio,6.3,1.26,0.43,0.05,0.5,0.28,2009-11-17,0.3412698412698413,0.03968253968253969,0.3968253968253968,0.22222222222222224
Tomb Raider: Underworld,PS3,Adventure,Eidos Interactive,Crystal Dynamics,7.8,1.26,0.45,0.05,0.55,0.21,2008-11-18,0.35714285714285715,0.03968253968253969,0.43650793650793657,0.16666666666666666
Cars 2,DS,Racing,Disney Interactive Studios,Avalanche Software,6.5,1.25,0.68,0.04,0.41,0.12,2011-06-21,0.544,0.032,0.32799999999999996,0.096
Black,PS2,Shooter,Electronic Arts,Criterion Games,7.7,1.25,1.01,0.03,0.04,0.16,2006-02-28,0.808,0.024,0.032,0.128
Need for Speed: Most Wanted,X360,Racing,Electronic Arts,Electronic Arts,8.4,1.25,1.0,0.02,0.13,0.1,2005-11-16,0.8,0.016,0.10400000000000001,0.08
Need for Speed Carbon,PS3,Racing,Electronic Arts,EA Black Box,7.8,1.24,0.49,0.03,0.51,0.2,2006-11-17,0.3951612903225806,0.024193548387096774,0.4112903225806452,0.16129032258064518
2010 FIFA World Cup South Africa,PS3,Sports,EA Sports,EA Canada,8.2,1.23,0.3,0.07,0.64,0.22,2010-04-27,0.24390243902439024,0.05691056910569106,0.5203252032520326,0.17886178861788618
Donkey Kong Country 2,GBA,Platform,Nintendo,Rare Ltd.,7.6,1.23,0.79,0.12,0.27,0.04,2004-11-15,0.6422764227642277,0.0975609756097561,0.21951219512195125,0.032520325203252036
Star Wars Battlefront II,PSP,Shooter,LucasArts,Savage Entertainment,6.9,1.22,1.05,0.01,0.06,0.1,2005-11-01,0.8606557377049181,0.00819672131147541,0.04918032786885246,0.0819672131147541
Intelligent Qube,PS,Puzzle,Sony Computer Entertainment,Sony Computer Entertainment,7.4,1.22,0.13,1.0,0.07,0.02,1997-09-30,0.10655737704918034,0.819672131147541,0.05737704918032788,0.01639344262295082
Bayonetta,PS3,Action,Sega,PlatinumGames,8.6,1.21,0.44,0.21,0.4,0.16,2010-01-05,0.36363636363636365,0.17355371900826447,0.3305785123966942,0.1322314049586777
FIFA Soccer 11,PSP,Sports,EA Sports,HB Studios,7.0,1.21,0.13,0.01,0.7,0.36,2010-09-28,0.10743801652892562,0.008264462809917356,0.5785123966942148,0.2975206611570248
F1 2011,PS3,Racing,Codemasters,Codemasters Birmingham,8.4,1.2,0.12,0.11,0.75,0.23,2011-09-20,0.1,0.09166666666666667,0.625,0.19166666666666668
Metal Gear Solid V: Ground Zeroes,PS4,Action-Adventure,Konami Digital Entertainment,Kojima Productions,7.6,1.2,0.36,0.17,0.5,0.17,2014-03-18,0.3,0.1416666666666667,0.4166666666666667,0.1416666666666667
Shadow of the Colossus,PS4,Action-Adventure,Sony Interactive Entertainment,Bluepoint Games,9.3,1.2,0.44,0.05,0.52,0.19,2018-02-06,0.3666666666666667,0.04166666666666667,0.43333333333333335,0.15833333333333335
Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,Sega,Sega,6.5,1.19,0.18,0.27,0.66,0.08,2012-02-14,0.15126050420168066,0.22689075630252103,0.5546218487394958,0.06722689075630253
Spider-Man: The Movie,GC,Action,Activision,Treyarch,7.6,1.19,0.86,0.01,0.27,0.04,2002-04-15,0.7226890756302521,0.008403361344537816,0.22689075630252103,0.033613445378151266
Metal Gear Solid: Portable Ops,PSP,Action,Konami,Kojima Productions,8.7,1.19,0.38,0.38,0.35,0.09,2006-12-05,0.319327731092437,0.319327731092437,0.29411764705882354,0.07563025210084033
WWE '12,PS3,Fighting,THQ,"Yuke's Co., Ltd.",9.0,1.18,0.53,0.02,0.45,0.17,2011-11-22,0.4491525423728814,0.01694915254237288,0.38135593220338987,0.1440677966101695
Red Dead Redemption: Undead Nightmare,PS3,Action,Rockstar Games,Rockstar San Diego,10.0,1.18,0.47,0.06,0.45,0.19,2010-11-23,0.3983050847457627,0.05084745762711865,0.38135593220338987,0.1610169491525424
